"CODIGO";"ID FABRICANTE";"CATEGORIA";"DETALLE";"IMAGEN";"IVA";"STOCK";"GARANTIA";"MONEDA";"PRECIO";"PRECIO FINAL";"COTIZACION DOLAR";"PRECIO PESOS SIN IVA";"PRECIO PESOS CON IVA";"ATRIBUTOS";"PRECIO USD CON UTILIDAD";"PRECIO PESOS CON UTILIDAD";"CATEGORIA_USUARIO";"UTILIDAD";"DETALLE_USUARIO";"PESO";"ALTO";"ANCHO";"LARGO";"";"IMPUESTO_INTERNO";"MARCA"
"119953";"24782";"ACCESORIOS";"ACCESORIOS TRUST AVADO XBOX CHARGER KIT GXT246";"https://static.nb.com.ar/i/nb_ACCESORIOS-TRUST-AVADO-XBOX-CHARGER-KIT-GXT246_export_76b1086142384e898b739afc34481d01.png";"21.0%";"20";"12 meses";"U$S";"14.34";"17.35";"1500";"21505.5";"26021.66";"Modelo alfanumérico:GXT 246 Avado Kit Play & Charge de Xbox
Marca:Trust";"17.35";"26021.66";"";"";"ACCESORIOS TRUST AVADO XBOX CHARGER KIT GXT246";"500";"140";"243";"140";"";"0";"TRUST"
"119975";"25584";"ACCESORIOS";"PILAS AA RECARGABLES USB-C TRUST X2";"https://static.nb.com.ar/i/nb_PILAS-AA-RECARGABLES-USB-C-TRUST-X2_export_9707bece8405b38c2b0ca344c9778612.png";"21.0%";"20";"12 meses";"U$S";"8.56";"10.36";"1500";"12839.7";"15536.04";"System Requirements:Cable USB-C Cargador de 5 W o puerto USB
 Input power:2.4W
Package Contents:2 pilas AA
 Total output power (max): A, W:400mW";"10.36";"15536.04";"";"";"PILAS AA RECARGABLES USB-C TRUST X2";"500";"140";"243";"140";"";"0";"TRUST"
"4504";"31100061105";"ACCESORIOS";"GENIUS GRAPHIC TABLET EASYPEN I405X";"https://static.nb.com.ar/i/nb_GENIUS-GRAPHIC-TABLET-EASYPEN-I405X_export_b4467cf469c8659b8c8a1408f9de5b2a.jpeg";"10.5%";"20";"12 meses";"U$S";"19.91";"22";"1500";"29869.71";"33006.03";"Dimensiones del área de trabajo:15 cm
Compatibilidad:Windows
Marca:Genius
EAN:4710268234876
Código universal de producto:4710268234876
Incluye lápiz:Sí
Línea:EasyPen
Modelo:I405X
Niveles de sensibilidad de presión:1024
Con USB:Sí
Marca:Genius I405X
Incluye lápiz:Sí
Línea:EasyPen
Modelo:NN4504
Niveles de sensibilidad de presión:1024
Con USB:Sí";"22";"33006.03";"";"";"GENIUS GRAPHIC TABLET EASYPEN I405X";"550";"250";"50";"250";"";"0";"GX GAMING"
"101139";"BA-PUCKR-W1";"ACCESORIOS";"ACCESORIOS PORTA AURICULARES NZXT PUCK  WHITE";"https://static.nb.com.ar/i/nb_ACCESORIOS-PORTA-AURICULARES-NZXT-PUCK--WHITE_export_5a6317c1cded8b56506934e4dabe42ee.jpeg";"21.0%";"20";"12 meses";"U$S";"29.86";"36.13";"1500";"44789.4";"54195.17";"Marca:NZXT
EAN:5060301693504
Código universal de producto:5060301693504
Modelo:BA-PUCKR-W1
SKU:BA-PUCKR-W1";"36.13";"54195.18";"";"";"ACCESORIOS PORTA AURICULARES NZXT PUCK  WHITE";"200";"80";"40";"80";"";"0";"NZXT                                              "
"86";"GENSA";"ACCESORIOS";"ACCESORIOS GENERICO   CABLE SERIAL SATA DATOS";"https://static.nb.com.ar/i/nb_ACCESORIOS-GENERICO---CABLE-SERIAL-SATA-DATOS_export_558ef25286c7fad73782edd00bdef870.jpeg";"21.0%";"20";"-";"U$S";"1.72";"2.08";"1500";"2581.5";"3123.62";"Color :Segun Stock";"2.08";"3123.62";"";"";"ACCESORIOS GENERICO   CABLE SERIAL SATA DATOS";"500";"140";"243";"140";"";"0";"GENERICO"
"102536";"AC-HUEHU-B1";"ACCESORIOS";"ACCESORIOS NZXT HUE 2 KIT ILUMINACION AMBIENTE RGB 27-35";"https://static.nb.com.ar/i/nb_ACCESORIOS-NZXT-HUE-2-KIT-ILUMINACION-AMBIENTE-RGB-27-35_export_89b7aadbc3c79a84972a82cbee5cbd8e.png";"21.0%";"5";"12 meses";"U$S";"200.38";"242.46";"1500";"300567";"363686.07";"Dimensiones del producto:76 x 100 x 15mm
Voltaje de salida:12V DC
Largo del cable LED:300mm x4, 250mm x4
Marca:NZXT
EAN:5060301694297
Código universal de producto:5060301694297
Modelo:AC-HUEHU-A1
Voltaje de salida:5V DC";"242.46";"363686.07";"";"";"ACCESORIOS NZXT HUE 2 KIT ILUMINACION AMBIENTE RGB 27-35";"350";"80";"30";"110";"";"0";"NZXT                                              "
"102524";"AC-040-A31NAN-C1";"ACCESORIOS";"ACCESORIOS THERMALTAKE CORE P5 AIO BRACKET BLACK";"https://static.nb.com.ar/i/nb_ACCESORIOS-THERMALTAKE-CORE-P5-AIO-BRACKET-BLACK_export_0e85b46d454a2e6b843abf463d4d77a8.jpeg";"21.0%";"20";"12 meses";"U$S";"11.98";"14.5";"1500";"17977.31";"21752.54";"Alto:140 mm
Ancho:243 mm
Largo:30000 mm";"14.5";"21752.54";"";"";"ACCESORIOS THERMALTAKE CORE P5 AIO BRACKET BLACK";"1250";"150";"40";"250";"";"0";"THERMALTAKE"
"7557";"-";"ACCESORIOS";"ACCESORIOS SFX FICHA HDMI A DVI";"https://static.nb.com.ar/i/nb_ACCESORIOS-SFX-FICHA-HDMI-A-DVI_export_cf9fe8902fa5f652d66f4ee9d1b2ee89.jpeg";"21.0%";"20";"12 meses";"U$S";"4.05";"4.9";"1500";"6077.37";"7353.62";"Modelo:HDMI a DVI
Conector de entrada:HDMI
Conector de salida:DVI";"4.9";"7353.62";"";"";"ACCESORIOS SFX FICHA HDMI A DVI";"500";"140";"243";"140";"";"0";"SFX                                               "
"104935";"23647";"ACCESORIOS";"ACCESORIOS BASE AURICULARES TRUST GXT 265 CINTAR RGB";"https://static.nb.com.ar/i/nb_ACCESORIOS-BASE-AURICULARES-TRUST-GXT-265-CINTAR-RGB_export_9aa21a53281c1ba04ba5addcad773562.png";"21.0%";"20";"12 meses";"U$S";"17.32";"20.95";"1500";"25974";"31428.54";"Power switch:no
Cable length main cable: 150 cm
Number of USB ports:2
USB version:2.0
Lights:yes
Compatible Device Types:laptop, pc
Compatible Consoles:no
Peso del producto (neto): 425 gPeso del producto (:425 g";"20.95";"31428.54";"";"";"ACCESORIOS BASE AURICULARES TRUST GXT 265 CINTAR RGB";"500";"140";"260";"140";"";"0";"TRUST"
"118874";"24980";"ACCESORIOS";"ACCESORIOS TRUST MALETIN LISBOA NOTEBOOK 16";"https://static.nb.com.ar/i/nb_ACCESORIOS-TRUST-MALETIN-LISBOA-NOTEBOOK-16_export_565eef454630352487b27b8a8bab4309.png";"10.5%";"20";"12 meses";"U$S";"22.88";"25.29";"1500";"34326";"37930.23";"Recycled content %:40 %
Size & Weight:512g 305mm 60mm 400mm
 Volume 21 L Laptop Compartment Size (inch):15.6 ""
 Fabric type:polyester
 Plastic material: POM, RPET Polyester, RPET twill polyester, 
 Volume:21 L";"25.29";"37930.23";"";"";"ACCESORIOS TRUST MALETIN LISBOA NOTEBOOK 16";"500";"140";"243";"140";"";"0";"TRUST"
