MES,ID,ULTIMO_INGRESO,ID_FAB,DETALLE,CANTIDAD,COSTO_U,COSTO_TOTAL,VENTA_TOTAL,GANANCIA,BENF_COST,BENF_VENT,COTIZACION,PROVEEDOR
2026-01,2936,13/11/2025,SFX_500,FUENTE SFX 500W 20+4 SATA,15.000,8.48000,127.20000000,165.3,38.1,29.95,23.05,,LASET S.A.
2026-01,6801,16/06/2026,IT-TPS120,PANTALLA INTELAID PROYECTOR 120 PULGADAS TRIPODE IT-TPS120,1.000,189.10064,189.10064000,224.67,35.56,18.81,15.83,,SERVICE & ENTERTAINMENT S A
2026-01,6895,19/02/2026,HUNNOX-650VA LCD,HUNNOX UPS Y ESTABILIZADOR 650VA LCD C/USB,1.000,30.09000,30.09000000,66.08,35.99,119.61,54.46,,LASET S.A.
2026-01,101266,23/04/2026,TR2-500NL2NC,FUENTE GAMER THERMALTAKE TR2 500W,4.000,45.67500,182.70000000,158.34,-24.36,-13.33,-15.38,,LASET S.A.
2026-01,102048,06/11/2024,,SERVICIO DE TRANSPORTE,594.000,12.60000,7484.40000000,67.86,-7416.54,-99.09,-10929.52,,New Bytes INC
2026-01,102157,,,COSTO FINANCIERO,106.000,4.55868,483.22008000,4357.57,3874.35,801.78,88.91,,
2026-01,102229,20/09/2022,ZN587U,CABLE UTP SFX  CAT5e 305M INTERIOR,1.000,47.38860,47.38860000,43.14,-4.25,-8.98,-9.86,,LASET S.A.
2026-01,102231,20/09/2022,ZN687U,CABLE UTP SFX CAT5e 305M EXTERIOR,2.000,54.72180,109.44360000,99.61,-9.83,-8.98,-9.87,,LASET S.A.
2026-01,102393,08/05/2026,CPU G60 GRIS,GRASA SILICONADA  PASTERMAX PARA CPU G60 (GRIS) PASTA TERMICA,1.000,1.32198,1.32198000,1.97,0.65,48.88,32.83,,RUBI�O ANABEL ROMINA
2026-01,102725,08/05/2026,CPU B30 BLANCA,GRASA SILICONADA PASTERMAX PARA CPU B30 (BLANCA) PASTA TERMICA,2.000,1.13321,2.26642000,2.81,0.55,24.19,19.48,,RUBI�O ANABEL ROMINA
2026-01,102894,13/11/2025,SFX-GC782,GABINETE SFX KIT 782 BLACK,2.000,22.35000,44.70000000,55.73,11.03,24.68,19.79,,LASET S.A.
2026-01,103094,22/06/2026,YD3200C5FHBOX,PROCESADOR AMD (AM4) RYZEN 3 3200G,4.000,54.52000,218.08000000,227.19,9.11,4.18,4.01,,LASET S.A.
2026-01,103319,13/11/2025,SFX-GC783,GABINETE SFX KIT 783 BLACK,2.000,22.35000,44.70000000,56.37,11.67,26.1,20.7,,LASET S.A.
2026-01,103424,26/08/2024,31330003401,TECLADO + MOUSE COMBO USB GENIUS KM-200 SMART BLACK,3.000,8.57000,25.71000000,30.54,4.83,18.78,15.81,,LASET S.A.
2026-01,103722,20/05/2026,31730029401,PARLANTE GENIUS USB SP-HF180 BLACK,4.000,6.38000,25.52000000,30.33,4.81,18.86,15.87,,LASET S.A.
2026-01,103748,10/06/2026,TCA-2000N-V,LYONN ESTABILIZADOR ELECT. TCA-2000N-V,8.000,23.72144,189.77152000,219.01,29.24,15.41,13.35,,SOLYTEC
2026-01,103749,30/06/2026,TCA-1200N-V,LYONN ESTABILIZADOR ELECT. TCA-1200N-V,6.000,16.60600,99.63600000,126.97,27.33,27.43,21.53,,SOLYTEC
2026-01,103750,13/04/2026,DESIRE-500AP LED,LYONN UPS DESIRE-500AP LED,6.000,27.45500,164.73000000,196.65,31.92,19.37,16.23,,SOLYTEC
2026-01,103751,26/01/2026,CTB-800AP LED,LYONN UPS CTB-800AP LED,1.000,31.82500,31.82500000,37.78,5.96,18.71,15.76,,SOLYTEC
2026-01,103752,26/01/2026,DESIRE-500AP-LCD,LYONN UPS DESIRE-500AP LCD,2.000,30.94159,61.88318000,74.99,13.11,21.18,17.48,,SOLYTEC
2026-01,103792,20/05/2026,31730029400,PARLANTE GENIUS USB SP-HF180 MADERA,1.000,6.38000,6.38000000,7.7,1.32,20.7,17.15,,LASET S.A.
2026-01,103819,04/12/2025,22991,MOUSE TRUST REXX ERGO GXT 144,1.000,20.37000,20.37000000,26.4,6.03,29.59,22.83,,LASET S.A.
2026-01,104172,26/01/2026,CTB-1200-AP-LCD,LYONN UPS CTB-1200-AP LCD,8.000,87.40000,699.20000000,816.32,117.12,16.75,14.35,,SOLYTEC
2026-01,104320,11/12/2025,RZ02-03330300-R3U1,MOUSEPAD RAZER GIGANTUS V2 LARGE,8.000,12.42000,99.36000000,128.1,28.74,28.92,22.43,,LASET S.A.
2026-01,104321,20/10/2025,RZ02-03330400-R3U1,MOUSEPAD RAZER GIGANTUS V2 XXL,1.000,25.02000,25.02000000,32.18,7.16,28.62,22.25,,LASET S.A.
2026-01,104654,21/05/2026,PSD48G320081,MEMORIA PATRIOT SIGNATURE LINE DDR4 8 GB 3200 MHZ PS001556,1.000,60.68000,60.68000000,70.58,9.9,16.32,14.03,,LASET S.A.
2026-01,104659,25/06/2021,9H.N1DGB.A2E,BUNGEE MOUSE ZOWIE GEAR CAMADE II BLACK-RED,2.000,28.71540,57.43080000,41.2,-16.23,-28.27,-39.4,,New Bytes INC
2026-01,104775,26/06/2026,PRIME B550M-K,MOTHER ASUS (AM4) PRIME B550M-K,9.000,68.33000,614.97000000,687.06,72.09,11.72,10.49,,LASET S.A.
2026-01,104829,15/10/2025,ARXE-500,FUENTE AUREOX 500W ARXE-500,4.000,8.15000,32.60000000,50.63,18.03,55.31,35.61,,LASET S.A.
2026-01,104832,03/12/2025,ARXGU-80PBZ-550W,FUENTE GAMER AUREOX 550W BRONZE 80+PSU,6.000,21.65000,129.90000000,187.64,57.74,44.45,30.77,,LASET S.A.
2026-01,104833,03/12/2025,ARXGU-80PBZ-650W,FUENTE GAMER AUREOX 650W BRONZE 80+PSU,14.000,23.63000,330.82000000,490.95,160.13,48.4,32.62,,LASET S.A.
2026-01,104835,22/05/2026,RZ04-03240100-R3U1,AURICULAR GAMER RAZER BLACKSHARK V2 X BLACK ANALOG 3.5mm,11.000,35.60000,391.60000000,494.03,102.43,26.16,20.73,,LASET S.A.
2026-01,104902,25/06/2021,9H.N0GBB.A2E,MOUSE GAMER ZOWIE GEAR S1 BLACK,1.000,65.31960,65.31960000,44.1,-21.22,-32.48,-48.1,,New Bytes INC
2026-01,104903,25/06/2021,9H.N0HBB.A2E,MOUSE GAMER ZOWIE GEAR S2 BLACK,1.000,65.31960,65.31960000,44.1,-21.22,-32.48,-48.1,,New Bytes INC
2026-01,104936,17/04/2023,24098,TECLADO GAMER LED TRUST ZIVA ES,1.000,10.08500,10.08500000,11.27,1.19,11.76,10.52,,New Bytes INC
2026-01,104953,06/10/2022,VVPC20B,LILIANA VENTILADOR PIE 20 PARRILLA CROM ASPAS METAL VPC20B,1.000,65.43538,65.43538000,57.72,-7.71,-11.79,-13.36,,LILIANA SRL
2026-01,106746,26/12/2025,100-100000063WOF,PROCESADOR AMD (AM4) RYZEN 7 5800X / SIN COOLER,3.000,211.16000,633.48000000,731.23,97.75,15.43,13.37,,LASET S.A.
2026-01,106758,25/09/2025,PRIME B550M-A AC,MOTHER ASUS (AM4) PRIME B550M-A AC WIFI,10.000,78.21000,782.10000000,926.34,144.24,18.44,15.57,,LASET S.A.
2026-01,106820,19/05/2026,PRIME A520M-K,MOTHER ASUS (AM4) PRIME A520M-K,8.000,42.93000,343.44000000,413.88,70.44,20.51,17.02,,LASET S.A.
2026-01,107905,26/12/2025,YD3400C5FHBO,PROCESADOR AMD (AM4) RYZEN 5 3400G,8.000,58.86000,470.88000000,500.15,29.27,6.22,5.85,,LASET S.A.
2026-01,108592,14/09/2022,RC21-01560100-R3U1,ACCESORIOS RAZER BUNGEE V3,1.000,16.17000,16.17000000,20.8,4.63,28.62,22.25,,LASET S.A.
2026-01,108722,03/12/2025,32200003400,WEBCAM GENIUS FACECAM 1000X V2 BLACK,3.000,10.89000,32.67000000,39.52,6.85,20.96,17.33,,LASET S.A.
2026-01,108993,30/05/2022,31710010402,AURICULAR GAMER GX GAMING GENIUS HS-610 RED,1.000,18.83700,18.83700000,19.38,0.54,2.88,2.8,,New Bytes INC
2026-01,109177,23/11/2021,903-W1-17BK,MOUSE GAMER EVGA X17 BLACK,1.000,5.33600,5.33600000,29.67,24.34,456.06,82.02,,New Bytes INC
2026-01,109178,15/02/2022,903-W1-17GR,MOUSE GAMER EVGA X17 GREY,1.000,5.33600,5.33600000,26.5,21.16,396.61,79.86,,LASET S.A.
2026-01,109353,21/05/2026,PBE480GS25SSDR,DISCO SSD PATRIOT BURST ELITE SOLID 480 GB SATA3  PE000777,2.000,66.14000,132.28000000,154.79,22.51,17.02,14.54,,LASET S.A.
2026-01,109617,10/02/2025,24059,MOUSE TRUST PUCK WRL RCHRGABLE BLK,1.000,9.80000,9.80000000,12.8,3,30.62,23.44,,LASET S.A.
2026-01,109621,09/02/2022,23833,PARLANTE TRUST CARO MAX POWERFULL  BLUETHOOT,1.000,49.99680,49.99680000,35.62,-14.38,-28.76,-40.37,,New Bytes INC
2026-01,109624,03/09/2024,23809,MOUSE TRUST ZAYA WRL RECARGABLE BLK,1.000,6.90000,6.90000000,9.35,2.45,35.55,26.23,,LASET S.A.
2026-01,109633,24/06/2026,22946,PARLANTE BARRA DE SONIDO TRUST ARYS,6.000,21.30000,127.80000000,130.63,2.83,2.22,2.17,,LASET S.A.
2026-01,111355,17/06/2026,PASTERMAX AISO,ALCOHOL ISOPROPILICO PASTERMAX X 500 ML,2.000,3.13138,6.26276000,6.97,0.7,11.23,10.1,,RUBI�O ANABEL ROMINA
2026-01,111356,08/05/2026,PASTERMAX A90,GRASA SILICONADA PASTERMAX PARA CPU A90 (GRIS) PASTA TERMICA,6.000,1.83095,10.98570000,14.38,3.4,30.91,23.61,,RUBI�O ANABEL ROMINA
2026-01,111512,25/11/2024,929002426812,CONTROL REMOTO WIZ,4.000,11.14296,44.57184000,47.61,3.04,6.82,6.39,,SIGNIFY ARGENTINA S.A.
2026-01,111552,28/10/2025,C11CJ68303U,IMPRESORA EPSON MULTIFUNCION MF L3210 ECO TANK,2.000,172.85442,345.70884000,367.07,21.36,6.18,5.82,,Stylus SA
2026-01,111594,07/10/2021,ARXP-GH600,AURICULAR AUREOX TREMOR GAMING GH600,3.000,19.27800,57.83400000,60.04,2.2,3.81,3.67,,LASET S.A.
2026-01,113117,11/12/2025,RZ01-04000100-R3M1,MOUSE GAMER RAZER BASILISK V3 WIRED ERGONOMIC,2.000,42.03000,84.06000000,92.58,8.52,10.14,9.21,,LASET S.A.
2026-01,113139,15/10/2025,VOLANS ARX360G,GABINETE GAMER AUREOX VOLANS ARX360G,2.000,18.85000,37.70000000,54.83,17.13,45.45,31.25,,LASET S.A.
2026-01,113140,15/10/2025,PICTOR ARX370G,GABINETE GAMER AUREOX PICTOR ARX370G,1.000,19.99000,19.99000000,29.07,9.08,45.42,31.23,,LASET S.A.
2026-01,113155,05/08/2025,PBE960GS25SSDR,DISCO SSD PATRIOT BURST ELITE SOLID 960 GB SATA3 PE000778,1.000,41.36000,41.36000000,135.86,94.5,228.49,69.56,,LASET S.A.
2026-01,113157,21/05/2026,P300P512GM28,DISCO SSD PATRIOT P300 512 GB M.2 2280 PCIE GEN3 X4 PE000691,1.000,79.58000,79.58000000,91.4,11.82,14.86,12.93,,LASET S.A.
2026-01,114153,03/07/2025,PYLON650B-BKCAR,FUENTE 650W ADATA XPG PYLON 80 PLUS BRONZE,6.000,40.30000,241.80000000,278.23,36.43,15.07,13.09,,LASET S.A.
2026-01,114626,27/11/2025,193V5LHSB2/77,MONITOR 19 PHILIPS VGA HDMI VESA,1.000,63.45336,63.45336000,68.43,4.98,7.85,7.27,,CORCISA SA
2026-01,115295,24/06/2026,24007,PARLANTE BARRA DE SONIDO TRUST THORNE RGB LED GXT619,20.000,25.90000,518.00000000,520.53,2.53,0.49,0.49,,LASET S.A.
2026-01,115743,13/05/2026,NT01N535N-001T-N8X,DISCO SSD NETAC N535N M.2 2280 SATAIII 3D NAND SSD 1TB,2.000,137.41000,274.82000000,287.77,12.95,4.71,4.5,,LASET S.A.
2026-01,115799,31/03/2026,PRIME A520M-A II,MOTHER ASUS (AM4) PRIME A520M-A II,6.000,51.73000,310.38000000,389.71,79.33,25.56,20.36,,LASET S.A.
2026-01,116092,22/03/2022,EP23GX-LP4UA,PLACA DE VIDEO TUL RX 6600 8GB DDR6 (CAJA MARRON),2.000,517.36000,1034.72000000,523.81,-510.91,-49.38,-97.54,,LASET S.A.
2026-01,116229,17/04/2023,24203,TECLADO TRUST MAZZ MECHANICAL GXT863,1.000,29.45000,29.45000000,28.26,-1.19,-4.03,-4.2,,New Bytes INC
2026-01,116284,14/04/2026,BX8071512400,PROCESADOR INTEL (LGA1700) CORE I5 12400,1.000,159.00000,159.00000000,175.63,16.63,10.46,9.47,,LASET S.A.
2026-01,116344,12/02/2026,PVE2416G320C8,MEMORIA PATRIOT DDR4 VIPER ELITE 2 16GB 3200 MHZ CL18 RED/BLK PE000829,1.000,112.21000,112.21000000,153.13,40.92,36.47,26.72,,LASET S.A.
2026-01,116345,12/02/2026,PVE248G320C8,MEMORIA PATRIOT DDR4 VIPER ELITE 2 8GB 3200 MHZ CL18 RED/BLK PE000830,1.000,32.54000,32.54000000,71.32,38.78,119.17,54.37,,LASET S.A.
2026-01,116374,28/04/2025,NTSDD4P32SP-16Y,MEMORIA NETAC SHADOW DDR4 3200 16GB C16 YELLOW,1.000,18.64000,18.64000000,102.72,84.08,451.1,81.85,,LASET S.A.
2026-01,116376,28/04/2025,NTSDD4P32SP-08Y,MEMORIA NETAC SHADOW DDR4 3200 8GB C16 GOLD YELLOW,1.000,11.25000,11.25000000,67.56,56.31,500.57,83.35,,LASET S.A.
2026-01,116416,29/05/2025,23733,MOUSE TRUST CARVE WIRED,1.000,2.82000,2.82000000,3.68,0.86,30.56,23.4,,LASET S.A.
2026-01,116429,09/03/2026,20426,MOUSE PAD TRUST BIGFOOT BLUE,1.000,4.79000,4.79000000,6.6,1.81,37.87,27.47,,LASET S.A.
2026-01,116713,28/04/2026,100-100000457BOX,PROCESADOR AMD (AM4) RYZEN 5 5500 3.6GHZ,11.000,83.63000,919.93000000,1070.34,150.41,16.35,14.05,,LASET S.A.
2026-01,116822,03/12/2025,31310016401,TECLADO USB GENIUS KB-117 BLACK,14.000,4.42000,61.88000000,71.68,9.8,15.83,13.67,,LASET S.A.
2026-01,117257,14/07/2025,WDS240G3G0A,DISCO SSD SATA 240 GB WD GREEN,12.000,19.35000,232.20000000,619.61,387.41,166.84,62.52,,LASET S.A.
2026-01,117303,25/08/2025,24194,MOUSE PAD TRUST XXL,1.000,9.18000,9.18000000,11.98,2.8,30.55,23.4,,LASET S.A.
2026-01,117514,11/12/2025,RZ04-03240700-R3U1,AURICULAR GAMER RAZER BLACKSHARK V2 X WHITE,7.000,34.78000,243.46000000,316.55,73.09,30.02,23.09,,LASET S.A.
2026-01,117532,28/08/2025,DWA-121/DSAU,D-LINK USB WIFI N150 MICRO DWA-121,1.000,4.50000,4.50000000,6.11,1.61,35.79,26.36,,EL AUDITOR SA
2026-01,117543,13/05/2026,NT01SA500-240-S3X,DISCO SSD NETAC SA500 2.5 SATA3 240 GB,10.000,36.66000,366.60000000,506.02,139.42,38.03,27.55,,LASET S.A.
2026-01,117544,13/05/2026,NT01SA500-480-S3X,DISCO SSD NETAC SA500 2.5 SATA3 480 GB,1.000,63.93000,63.93000000,78.33,14.4,22.52,18.38,,LASET S.A.
2026-01,117569,03/10/2022,DKON2187-RUSPDMAEGGC1,Teclado Mecanico Ducky One 3 TKL Teclas color crema y verde Matcha Interruptor rojo Ingles PBT Doble disparo sin costuras Estuche superior color crema,1.000,96.74400,96.74400000,111.04,14.29,14.77,12.87,,LASET S.A.
2026-01,117731,11/03/2025,9290025248,ACCESORIOS WIZ HUE CABLE 2M RGB LEDSTRIP STARKIT TYPE-C,1.000,29.48174,29.48174000,31.79,2.31,7.84,7.27,,SIGNIFY ARGENTINA S.A.
2026-01,117807,21/05/2026,WDS100T2XHE,DISCO SSD M.2 1TB WD BLACK SN850X NVME HEATSINK,1.000,170.53000,170.53000000,183.34,12.81,7.51,6.99,,LASET S.A.
2026-01,117850,16/06/2026,IT-DGB2E,SOPORTE INTELAID DOBLE MONITOR ESCRITORIO 17 A 32 IT-DGB2E,1.000,59.00000,59.00000000,66.81,7.81,13.24,11.69,,SERVICE & ENTERTAINMENT S A
2026-01,117876,26/08/2024,31340014401,TECLADO + MOUSE WIRELESS COMBO GENIUS KM-8101,6.000,12.86000,77.16000000,92.75,15.59,20.2,16.81,,LASET S.A.
2026-01,117961,07/03/2025,BX8071513400,PROCESADOR INTEL (LGA1700) CORE I5 13400,1.000,182.87000,182.87000000,197.08,14.21,7.77,7.21,,LASET S.A.
2026-01,118035,04/12/2025,24795,MOUSE TRUST MATT PRIMO WIRELESS WHITE,1.000,4.09000,4.09000000,5.18,1.09,26.69,21.07,,LASET S.A.
2026-01,118053,27/05/2026,CTB-1500-AP LCD,LYONN UPS CTB-1500-AP LCD,1.000,116.85448,116.85448000,146.89,30.04,25.7,20.45,,SOLYTEC
2026-01,118077,11/12/2025,RZ04-04430100-R3U1,AURICULAR GAMER RAZER BARRACUDA X BLACK,1.000,82.87000,82.87000000,106.79,23.92,28.86,22.4,,LASET S.A.
2026-01,118079,11/12/2025,RZ04-04430200-R3U1,AURICULAR GAMER RAZER BARRACUDA X WHITE HYPERSPEED WIRELESS +BT +CABLE,1.000,82.08000,82.08000000,105.57,23.49,28.62,22.25,,LASET S.A.
2026-01,118083,11/12/2025,RZ03-04681900-R3U1,TECLADO GAMER RAZER BLACKWIDOW V4 PRO SW YELLOW,1.000,147.17000,147.17000000,189.29,42.12,28.62,22.25,,LASET S.A.
2026-01,118084,20/10/2025,RZ01-03850200-R3M1,MOUSE GAMER RAZER DEATHADDER ESSENTIAL WHITE,1.000,16.89000,16.89000000,21.27,4.38,25.91,20.58,,LASET S.A.
2026-01,118088,11/12/2025,RZ05-04280100-R3U1,SOUNDBAR RAZER LEVIATHAN V2 X CHROMA BT,1.000,82.87000,82.87000000,108.23,25.36,30.6,23.43,,LASET S.A.
2026-01,118120,26/05/2026,B550M K,MOTHER GIGABYTE (AM4) B550M K,7.000,66.23000,463.61000000,499.43,35.82,7.73,7.17,,LASET S.A.
2026-01,118158,11/05/2023,4250366851747,GIGASET TELEFONO INALAMBRICO A270A AM BLACK,1.000,62.18000,62.18000000,45.31,-16.87,-27.13,-37.24,,Ceven
2026-01,118172,05/05/2026,A520M K V2,MOTHER GIGABYTE (AM4) A520M K V2,34.000,37.29000,1267.86000000,1576.34,308.48,24.33,19.57,,LASET S.A.
2026-01,118212,22/06/2026,WD43PURZ,DISCO HDD 4TB WD PURPLE SURVEILLANCE WD43PURZ,3.000,149.51000,448.53000000,354.94,-93.59,-20.87,-26.37,,LASET S.A.
2026-01,118222,25/07/2025,PEF128GRLB32U,PEN DRIVE PATRIOT RAGE LITE 128GB USB 3.2 PE000848,1.000,9.34000,9.34000000,19.59,10.25,109.78,52.33,,LASET S.A.
2026-01,118259,26/09/2025,11324-01-20G,PLACA DE VIDEO SAPPHIRE PULSE RX 7600 OC 8GB,6.000,235.84000,1415.04000000,1761.5,346.46,24.48,19.67,,LASET S.A.
2026-01,118327,07/07/2025,31030019412,MOUSE  WIRELESS GENIUS NX-7015 BLACK,1.000,5.45000,5.45000000,6.86,1.41,25.81,20.51,,LASET S.A.
2026-01,118357,22/06/2026,100-100000644BOX,PROCESADOR AMD (AM4) RYZEN 5 4500 65W,9.000,69.58000,626.22000000,631.36,5.14,0.82,0.81,,LASET S.A.
2026-01,118449,11/12/2025,RZ01-04660100-R3U1,MOUSE GAMER RAZER COBRA PRO BLACK WIRELESS,2.000,82.33000,164.66000000,208.52,43.86,26.64,21.03,,LASET S.A.
2026-01,118450,22/05/2026,RZ01-04650100-R3M1,MOUSE GAMER RAZER COBRA,3.000,25.92000,77.76000000,99.89,22.13,28.46,22.15,,LASET S.A.
2026-01,118490,08/07/2025,GP-UD850GM PG5,FUENTE GAMER GIGABYTE 850W PG5/PSU,2.000,91.09000,182.18000000,200.07,17.89,9.82,8.94,,LASET S.A.
2026-01,118491,30/07/2025,TUF GAMING A620M-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING A620M-PLUS WIFI,4.000,108.73000,434.92000000,474.48,39.56,9.1,8.34,,LASET S.A.
2026-01,118727,14/07/2025,DWA-582,D-LINK PLACA DE RED PCI-E  DWA-582 WIFI 5 AC1200 DUAL BAND CON 2 ANTENAS,3.000,16.77000,50.31000000,58.12,7.81,15.52,13.44,,LASET S.A.
2026-01,118732,12/09/2024,CTB-2000-AP LED,LYONN UPS CTB-2000-AP LED,1.000,181.35135,181.35135000,205.17,23.82,13.14,11.61,,SOLYTEC
2026-01,118770,01/08/2025,X922TBF,GABINETE GAMER RAIDMAX MESHIAN X922 BLACK ATX TG ARGB,2.000,23.94000,47.88000000,87.64,39.76,83.04,45.37,,LASET S.A.
2026-01,118771,01/08/2025,I800TBF,GABINETE GAMER RAIDMAX INFINITA i800 BLACK ATX TG ARGB,2.000,27.36000,54.72000000,100.26,45.54,83.22,45.42,,LASET S.A.
2026-01,118804,15/10/2025,ARX400G,GABINETE GAMER AUREOX RHEA ARX400G C/VEN,1.000,21.47000,21.47000000,30.26,8.79,40.96,29.06,,LASET S.A.
2026-01,118805,15/10/2025,ARX410G,GABINETE GAMER AUREOX PROTEUS ARX410G C/VEN,4.000,32.76000,131.04000000,191.51,60.47,46.15,31.58,,LASET S.A.
2026-01,118811,11/12/2025,RZ03-04471100-R311,TECLADO GAMER RAZER ORNATA V3 X SILENT ESPA�OL,2.000,24.01000,48.02000000,60.4,12.38,25.78,20.5,,LASET S.A.
2026-01,118812,22/05/2026,RZ03-04702800-R311,TECLADO GAMER RAZER BLACKWIDOW V4 X YELLOW-SWITCH LINEAR SILENT ESPA�OL,1.000,79.93000,79.93000000,97.49,17.56,21.97,18.01,,LASET S.A.
2026-01,118813,11/12/2025,RZ01-04870100-R3U1,MOUSE GAMER RAZER BASILISK V3 X HYPERSPEED,1.000,47.99000,47.99000000,60.77,12.78,26.63,21.03,,LASET S.A.
2026-01,118837,22/06/2026,100-100001237BOX,PROCESADOR AMD (AM5) RYZEN 5 8600G,10.000,154.85000,1548.50000000,1702.59,154.09,9.95,9.05,,LASET S.A.
2026-01,118839,22/06/2026,100-100001488BOX,PROCESADOR AMD (AM4) RYZEN 5 5600GT,2.000,128.45000,256.90000000,279.36,22.46,8.74,8.04,,LASET S.A.
2026-01,118853,24/06/2026,24174,ACCESORIOS TRUST GRIP JOYSTICK X4 GXT267,2.000,5.40000,10.80000000,13.99,3.19,29.57,22.82,,LASET S.A.
2026-01,118862,09/03/2026,25036,MOUSE GAMER TRUST FELOX BLACK GXT109,3.000,6.65000,19.95000000,24.44,4.49,22.52,18.38,,LASET S.A.
2026-01,118869,01/03/2024,25108,PARLANTE TRUST JAVV RGB SET BLACK 2.0 GXT606B,1.000,25.75000,25.75000000,22.16,-3.59,-13.93,-16.18,,LASET S.A.
2026-01,118876,25/08/2025,25124,ACCESORIOS TRUST MOCHILA LISBOA 16,1.000,25.06000,25.06000000,26.75,1.69,6.75,6.33,,LASET S.A.
2026-01,118910,24/06/2026,24450,ACCESORIOS TRUST MALETIN BOLOGNA NOTEBOOK 16 ECO GREEN,1.000,8.41000,8.41000000,11.05,2.64,31.35,23.87,,LASET S.A.
2026-01,118920,16/10/2025,100-100000743BOX,PROCESADOR AMD (AM4) RYZEN 7 5700,1.000,111.34000,111.34000000,148.72,37.38,33.57,25.13,,LASET S.A.
2026-01,118943,04/04/2024,B550M PG RIPTIDE,MOTHER ASROCK (AM4) B550M PG RIPTIDE,1.000,114.96000,114.96000000,114.63,-0.33,-0.29,-0.29,,LASET S.A.
2026-01,118980,05/08/2025,100-100000931BOX,PROCESADOR AMD (AM5) RYZEN 5 8500G,2.000,119.88000,239.76000000,279,39.24,16.37,14.06,,LASET S.A.
2026-01,118987,22/06/2026,WD85PURZ,DISCO HDD 8TB WD PURPLE SURVEILLANCE WD85PURZ,1.000,277.49000,277.49000000,241.17,-36.32,-13.09,-15.06,,LASET S.A.
2026-01,118988,05/08/2024,WD40EFPX,DISCO HDD NAS 4TB WD RED WD40EFPX,4.000,104.73000,418.92000000,563.69,144.77,34.56,25.68,,LASET S.A.
2026-01,119000,20/05/2026,31320003400,TECLADO NUMERICO WIRELESS GENIUS NUMPAD 1000 BLACK,3.000,5.35000,16.05000000,18.57,2.52,15.72,13.58,,LASET S.A.
2026-01,119002,26/08/2024,31340015407,TECLADO + MOUSE WIRELESS GENIUS SLIMSTAR 8230 BLACK DUAL BT/2.4Ghz,1.000,17.86000,17.86000000,22.09,4.23,23.7,19.16,,LASET S.A.
2026-01,119003,26/08/2024,31340017401,TECLADO + MOUSE WIRELESS COMBO GENIUS KM-8206S,1.000,13.23000,13.23000000,11.9,-1.33,-10.08,-11.21,,LASET S.A.
2026-01,119086,03/12/2025,ARX 200G SKOLL,GABINETE GAMER AUREOX SKOLL ARX 200G,8.000,13.56000,108.48000000,165.85,57.37,52.89,34.59,,LASET S.A.
2026-01,119087,03/12/2025,ARX 205G VANTH,GABINETE GAMER AUREOX VANTH ARX 205G,1.000,16.72000,16.72000000,29.28,12.56,75.14,42.9,,LASET S.A.
2026-01,119143,22/06/2026,100-100001405WOF,PROCESADOR AMD (AM5) RYZEN 5 9600X (S/COOLER),9.000,216.99000,1952.91000000,2145.61,192.7,9.87,8.98,,LASET S.A.
2026-01,119158,01/08/2025,NV-IX120FBP,COOLER FAN 120mm ARGB PMW RAIDMAX INFINITA-AIR BLACK,3.000,4.38000,13.14000000,25.34,12.2,92.81,48.14,,LASET S.A.
