ID,ULTIMO_INGRESO,ID_FAB,DETALLE,CANTIDAD,COSTO_U,COSTO_TOTAL,VENTA_TOTAL,GANANCIA,BENF_COST_%,BENF_VENT_%,COTIZACION,PROVEEDOR
101266,23/04/2026,TR2-500NL2NC,FUENTE GAMER THERMALTAKE TR2 500W,3.000,45.67500,137.02500000,72.58,-64.44,-47.03,-88.79,,LASET S.A.
120298,21/05/2026,VEB516G6030W,MEMORIA PATRIOT DDR5 VIPER ELITE 5 16GB DDR5 CL30 6000MTS WHITE HS SINGLE PE001087,10.000,181.90000,1819.00000000,2363.74,544.74,29.95,23.05,,LASET S.A.
6896,19/02/2026,HUNNOX-850VA LCD,HUNNOX UPS Y ESTABILIZADOR 850VA LCD C/USB,1.000,35.05000,35.05000000,50.73,15.68,44.74,30.91,,LASET S.A.
120466,03/12/2025,31030042402,MOUSE WIRELESS GENIUS NX-8080S BT-2.4Ghz BLUE,1.000,7.55000,7.55000000,8.68,1.13,14.97,13.02,,LASET S.A.
111420,13/12/2021,9H.LJNLB.QBR,"MONITOR 24,5 GAMER ZOWIE XL2546K LED TN FHD 240hz c/escudo Tecnolog�a DyAc Black eQualizer",7.000,502.18000,3515.26000000,2176.88,-1338.38,-38.07,-61.48,,New Bytes INC
118920,16/10/2025,100-100000743BOX,PROCESADOR AMD (AM4) RYZEN 7 5700,1.000,111.34000,111.34000000,150.25,38.91,34.94,25.89,,LASET S.A.
120004,15/09/2025,CA-1Z4-00M6WN-00,GABINETE THERMALTAKE VIEW 170 TG ARGB SNOW WHITE TEMPERED GLASS,8.000,32.78000,262.24000000,301.43,39.19,14.94,13,,LASET S.A.
120180,09/02/2026,ROG STRIX LC III 360 ARGB,WATER COOLER ASUS ROG STRIX LC III 360 ARGB,1.000,210.12000,210.12000000,223.14,13.02,6.2,5.83,,LASET S.A.
103805,17/04/2023,20712,JOYSTICK TRUST YULA PC PS3 GXT 540,1.000,17.12000,17.12000000,20.71,3.59,20.94,17.32,,New Bytes INC
111421,13/12/2021,9H.LJPLB.QBR,MONITOR 24 GAMER ZOWIE XL2411K LED TN FHD 144hz Tecnolog�a DyAc Black eQualizer,6.000,235.70000,1414.20000000,906.48,-507.72,-35.9,-56.01,,New Bytes INC
116863,05/07/2022,HT-SHK-DIECBK-25,AURICULARES TT ESPORTS HT/SHOCK PRO RGB 7.1 DIGITAL BLACK FULL SIZE RGB COLOR LED,1.000,55.94400,55.94400000,36.35,-19.59,-35.02,-53.89,,LASET S.A.
122602,05/05/2026,GP-P650G PG5,FUENTE GAMER GIGABYTE 650W 80 PLUS GOLD PG5,8.000,41.16000,329.28000000,378.54,49.26,14.96,13.01,,LASET S.A.
117550,15/01/2025,NTBSD4N32SP-16,MEMORIA NETAC BASIC DDR4 SODIMM 16GB 3200 C22,4.000,20.46000,81.84000000,278.13,196.29,239.85,70.58,,LASET S.A.
111355,17/06/2026,PASTERMAX AISO,ALCOHOL ISOPROPILICO PASTERMAX X 500 ML,3.000,3.13138,9.39414000,11.84,2.45,26.05,20.66,,RUBI�O ANABEL ROMINA
111676,04/12/2025,21566,MOUSE PAD TRUST M GXT752,1.000,5.34000,5.34000000,6.57,1.23,23,18.7,,LASET S.A.
119143,22/06/2026,100-100001405WOF,PROCESADOR AMD (AM5) RYZEN 5 9600X (S/COOLER),1.000,216.99000,216.99000000,240.06,23.07,10.63,9.61,,LASET S.A.
102157,,,COSTO FINANCIERO,89.000,4.55868,405.72252000,3041.8,2636.08,649.73,86.66,,
113155,05/08/2025,PBE960GS25SSDR,DISCO SSD PATRIOT BURST ELITE SOLID 960 GB SATA3 PE000778,1.000,41.36000,41.36000000,148.84,107.48,259.86,72.21,,LASET S.A.
118865,01/03/2024,24729,MOUSE TRUST GAMING  ECO YBAR GXT922,1.000,11.24000,11.24000000,10.33,-0.91,-8.08,-8.79,,LASET S.A.
121268,12/03/2026,MILAN-3CN-B,"TECLA MILAN BLANCO MACROLED, 3 CANAL, 2 VIAS, AC 250V, 10A MAX. BASTIDOR METALICO",4.000,2.20000,8.80000000,10.36,1.56,17.76,15.08,,CORESA GROUP SRL
122533,31/03/2026,TUF-RX9070XT-O16G-COD-BO7,PLACA DE VIDEO ASUS TUF RX9070XT 16GB COD BLACK OPS 7O7,3.000,848.29000,2544.87000000,2789.76,244.89,9.62,8.78,,LASET S.A.
122762,21/05/2026,PVV516G600C36K,MEMORIA PATRIOT VIPER VENOM DDR5 16GB 6000 MTS CL36 DUAL KIT BLK PE001183,5.000,188.10000,940.50000000,1212.77,272.27,28.95,22.45,,LASET S.A.
119241,03/09/2025,B650M D3HP AX,MOTHER GIGABYTE (AM5) B650M D3HP AX,2.000,112.80000,225.60000000,257.08,31.48,13.95,12.25,,LASET S.A.
120317,15/10/2025,VA24EHF-J,MONITOR 24 ASUS VA24EHF FHD IPS 100Hz 1ms,10.000,66.79000,667.90000000,906.32,238.42,35.7,26.31,,LASET S.A.
121278,12/02/2026,WDS100T1X0M,DISCO SSD M.2 1TB WD BLACK SN8100 NVME,3.000,177.85000,533.55000000,856.89,323.34,60.6,37.73,,LASET S.A.
116229,17/04/2023,24203,TECLADO TRUST MAZZ MECHANICAL GXT863,2.000,29.45000,58.90000000,57.12,-1.78,-3.02,-3.12,,New Bytes INC
119257,20/04/2025,H610M K V2,MOTHER GIGABYTE (LGA1700) H610M K V2,1.000,62.34000,62.34000000,66.05,3.71,5.96,5.62,,LASET S.A.
121559,26/12/2025,RX9070XT SLD16,PLACA DE VIDEO ASROCK RX9070XT 16GB STEEL LEGEND DARK,8.000,596.79000,4774.32000000,6011.5,1237.18,25.91,20.58,,LASET S.A.
104336,09/03/2026,22656,MICROFONO TRUST MANTIS GXT232,1.000,16.66000,16.66000000,20.86,4.2,25.19,20.12,,LASET S.A.
119714,26/05/2026,B760M D3HP DDR4,MOTHER GIGABYTE (LGA1700) B760M D3HP DDR4,2.000,80.65000,161.30000000,185.42,24.12,14.95,13.01,,LASET S.A.
119728,05/05/2026,GP-P650SS,FUENTE GAMER GIGABYTE 650W 80 PLUS SILVER ATX 3.0,8.000,36.25000,290.00000000,353.65,63.65,21.95,18,,LASET S.A.
120006,15/09/2025,PS-SPD-0650NNFABG-3,FUENTE GAMER THERMALTAKE SMART BX3 650W 80 PLUS BRONZE,2.000,49.57000,99.14000000,115.95,16.81,16.96,14.5,,LASET S.A.
120633,26/12/2025,100-100000718BOX,PROCESADOR AMD (AM5) RYZEN 5 9600,1.000,201.78000,201.78000000,229.44,27.66,13.71,12.05,,LASET S.A.
121388,24/06/2026,25389,MOUSE TRUST HELOX GAMING ULTRALIGERO WHITE GXT928W,1.000,6.65000,6.65000000,8.45,1.8,26.99,21.26,,LASET S.A.
122383,13/04/2026,E681-WHNN-S00,GABINETE COOLER MASTER ELITE 681 WHITE,3.000,50.76000,152.28000000,175.06,22.78,14.96,13.01,,LASET S.A.
122665,28/04/2026,100-100001978WOF,PROCESADOR AMD (AM5) RYZEN 9 9950X3D2,2.000,898.70000,1797.40000000,2021.26,223.86,12.45,11.08,,LASET S.A.
118980,05/08/2025,100-100000931BOX,PROCESADOR AMD (AM5) RYZEN 5 8500G,2.000,119.88000,239.76000000,270.83,31.07,12.96,11.47,,LASET S.A.
118814,11/03/2026,B550M PHANTOM GAMING 4,MOTHER ASROCK (AM4) B550M PHANTOM GAMING 4,5.000,78.70000,393.50000000,452.49,58.99,14.99,13.04,,LASET S.A.
120147,13/11/2025,X609MTBF,GABINETE GAMER RAIDMAX MESHIAN X609M BLACK MicroATX TG ARGB,7.000,21.72000,152.04000000,246.18,94.14,61.92,38.24,,LASET S.A.
120256,12/03/2025,929002422801,ACCESORIOS PHILIPS HUE PLAY GRADIENT LIGHTSTRIP 65 EU,1.000,191.82000,191.82000000,201.87,10.05,5.24,4.98,,SIGNIFY ARGENTINA S.A.
