ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
103424,26/08/2024,31330003401,TECLADO + MOUSE COMBO USB GENIUS KM-200 SMART BLACK,1.000,8.57000,8.57000000,10.52,1.95,22.71,18.5,,LASET S.A.
118336,26/08/2024,31340003420,TECLADO + MOUSE WIRELESS COMBO GENIUS KM-8200 DUAL COLOR,2.000,13.69000,27.38000000,31.8,4.42,16.15,13.91,,LASET S.A.
119701,27/11/2024,31340018401,TECLADO + MOUSE WIRELESS COMBO GENIUS KM-8216s BLACK,3.000,13.66000,40.98000000,46.76,5.78,14.09,12.35,,LASET S.A.
120007,15/09/2025,PS-SPD-0700NPCWAG-W,FUENTE THERMALTAKE SMART 700W 80 PLUS WHITE,3.000,44.57000,133.71000000,160.46,26.75,20.01,16.67,,LASET S.A.
121145,07/05/2026,LS22D300GALXZB,MONITOR SAMSUNG LED 22 D300,5.000,75.32181,376.60905000,448.18,71.57,19,15.97,,Stylus SA
120449,04/12/2025,25390,MOUSE TRUST HELOX GAMING WIRELESS LIVIANO WHITE GXT929W,1.000,10.98000,10.98000000,13.48,2.5,22.81,18.57,,LASET S.A.
119919,22/05/2026,RZ04-05180100-R3U1,AURICULAR GAMER RAZER KRAKEN V4 X BLACK USB,3.000,67.87000,203.61000000,210.85,7.24,3.56,3.44,,LASET S.A.
117727,12/02/2026,100-100000591WOF,PROCESADOR AMD (AM5) RYZEN 7 7700X,1.000,300.29000,300.29000000,313.69,13.4,4.46,4.27,,LASET S.A.
117987,29/07/2025,B650 AORUS ELITE AX,MOTHER GIGABYTE (AM5) B650 AORUS ELITE AX,1.000,193.81000,193.81000000,217.82,24.01,12.39,11.02,,LASET S.A.
118269,23/01/2025,H510M H V2,MOTHER GIGABYTE (LGA1200) H510M H V2,1.000,59.51000,59.51000000,70.41,10.9,18.31,15.48,,LASET S.A.
115295,09/03/2026,24007,PARLANTE BARRA DE SONIDO TRUST THORNE RGB LED GXT619,5.000,26.01000,130.05000000,145.61,15.56,11.97,10.69,,LASET S.A.
119001,07/07/2025,31320002401,TECLADO WIRELESS GENIUS KB-7200 BLACK,2.000,6.57000,13.14000000,15.36,2.22,16.9,14.45,,LASET S.A.
