Mes,ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
2026-05,2936,13/11/2025,SFX_500,FUENTE SFX 500W 20+4 SATA,10.000,8.48000,84.80000000,96.79,11.99,14.14,12.39,,LASET S.A.
2026-05,6897,19/02/2026,HUNNOX-1200VA LCD,HUNNOX UPS Y ESTABILIZADOR 1200VA LCD C/USB,2.000,53.98000,107.96000000,149.63,41.67,38.6,27.85,,LASET S.A.
2026-05,7326,07/04/2021,31710045100,AURICULAR + MIC HEADSET GENIUS HS-04SU DUAL PLUG,6.000,11.02500,66.15000000,71.42,5.27,7.97,7.38,,New Bytes INC
2026-05,101260,23/04/2026,TR2-600NL2NC,FUENTE GAMER THERMALTAKE TR2 600W,1.000,50.08500,50.08500000,36.05,-14.04,-28.03,-38.95,,LASET S.A.
2026-05,101396,19/02/2026,BATERIA 12V 8AH,HUNNOX BATERIA UPS 12V 8AH,2.000,9.73000,19.46000000,29.06,9.6,49.32,33.03,,LASET S.A.
2026-05,102048,06/11/2024,,SERVICIO DE TRANSPORTE,686.000,12.60000,8643.60000000,560.05,-8083.55,-93.52,-1443.37,,New Bytes INC
2026-05,102068,19/02/2026,HUNNOX-1200VA LED,HUNNOX UPS 1200VA LED,1.000,50.25000,50.25000000,68.94,18.69,37.2,27.11,,LASET S.A.
2026-05,102070,19/02/2026,HUNNOX-1500VA LED,HUNNOX UPS 1500VA LED,2.000,62.66000,125.32000000,173.7,48.38,38.61,27.85,,LASET S.A.
2026-05,102157,,,COSTO FINANCIERO,25.000,4.55868,113.96700000,853.49,739.52,648.89,86.65,,
2026-05,102278,20/05/2026,31300005401,TECLADO GENIUS KB-100 SMART USB BLACK,2.000,4.26000,8.52000000,9.95,1.43,16.84,14.41,,LASET S.A.
2026-05,102894,13/11/2025,SFX-GC782,GABINETE SFX KIT 782 BLACK,1.000,22.35000,22.35000000,27.03,4.68,20.94,17.31,,LASET S.A.
2026-05,103174,28/08/2019,CL-O020-PL00SW-A,ACCESORIOS THERMALTAKE MEMORY LIGHTING KIT LED MEMORY,1.000,58.64045,58.64045000,58.43,-0.22,-0.37,-0.37,,New Bytes INC
2026-05,103319,13/11/2025,SFX-GC783,GABINETE SFX KIT 783 BLACK,7.000,22.35000,156.45000000,189.21,32.76,20.94,17.31,,LASET S.A.
2026-05,103722,20/05/2026,31730029401,PARLANTE GENIUS USB SP-HF180 BLACK,36.000,6.38000,229.68000000,281.96,52.28,22.76,18.54,,LASET S.A.
2026-05,103748,13/05/2026,TCA-2000N-V,LYONN ESTABILIZADOR ELECT. TCA-2000N-V,5.000,23.72141,118.60705000,146.14,27.54,23.22,18.84,,SOLYTEC
2026-05,103749,18/05/2026,TCA-1200N-V,LYONN ESTABILIZADOR ELECT. TCA-1200N-V,14.000,16.60796,232.51144000,306.65,74.14,31.89,24.18,,SOLYTEC
2026-05,103750,13/04/2026,DESIRE-500AP LED,LYONN UPS DESIRE-500AP LED,2.000,27.45500,54.91000000,66.97,12.06,21.97,18.01,,SOLYTEC
2026-05,103752,26/01/2026,DESIRE-500AP-LCD,LYONN UPS DESIRE-500AP LCD,1.000,30.94159,30.94159000,38.58,7.63,24.67,19.79,,SOLYTEC
2026-05,103792,20/05/2026,31730029400,PARLANTE GENIUS USB SP-HF180 MADERA,1.000,6.38000,6.38000000,7.65,1.27,19.9,16.6,,LASET S.A.
2026-05,103804,04/12/2025,22524,ALFOMBRA TRUST PARA SILLA GAMER GXT 715,1.000,37.25000,37.25000000,48.78,11.53,30.94,23.63,,LASET S.A.
2026-05,103825,09/03/2026,21569,MOUSE PAD TRUST XXL GXT 758,1.000,13.44420,13.44420000,16.8,3.36,24.96,19.97,,LASET S.A.
2026-05,103830,20/10/2021,22400,MICROFONO TRUST EMITA PLUS GXT252+,1.000,116.99100,116.99100000,95.89,-21.1,-18.04,-22.01,,New Bytes INC
2026-05,104172,26/01/2026,CTB-1200-AP-LCD,LYONN UPS CTB-1200-AP LCD,3.000,87.40000,262.20000000,309.27,47.07,17.95,15.22,,SOLYTEC
2026-05,104191,26/05/2026,HL-1212W,IMPRESORA BROTHER LJ 1212W,1.000,116.09000,116.09000000,123.17,7.08,6.1,5.75,,Stylus SA
2026-05,104246,26/05/2026,HL-1200,IMPRESORA BROTHER HL-1200 LASER USB MONO,3.000,92.86000,278.58000000,323.84,45.26,16.25,13.98,,Stylus SA
2026-05,104286,23/04/2026,PBU960GS25SSDR,DISCO PATRIOT BURST SOLID 960 GB SATA3 SSD,1.000,98.18240,98.18240000,114.06,15.88,16.17,13.92,,New Bytes INC
2026-05,104291,20/07/2023,F4-3600C18D-16GTRG,MEMORIA GSKILL TRIDENT Z ROYAL DDR4 16 GB 3600 RGB GOLD 2X8 1.35,3.000,101.19000,303.57000000,520.91,217.34,71.6,41.72,,New Bytes INC
2026-05,104321,20/10/2025,RZ02-03330400-R3U1,MOUSEPAD RAZER GIGANTUS V2 XXL,9.000,25.02000,225.18000000,277.8,52.62,23.37,18.94,,LASET S.A.
2026-05,104330,08/01/2021,22052,AURICULAR GAMER TRUST RADIUS GXT350 7.1 BLACK,2.000,29.69820,59.39640000,39.37,-20.03,-33.71,-50.86,,New Bytes INC
2026-05,104336,09/03/2026,22656,MICROFONO TRUST MANTIS GXT232,1.000,16.66000,16.66000000,20.86,4.2,25.19,20.12,,LASET S.A.
2026-05,104466,16/10/2025,BX8070110400,PROCESADOR INTEL (LGA1200) CORE I5 10400,1.000,102.18000,102.18000000,134.46,32.28,31.59,24,,LASET S.A.
2026-05,104581,02/09/2021,23465,MICROFONO TRUST FYRU 4IN1 STREAMING MIC GXT258,1.000,120.01500,120.01500000,97.37,-22.65,-18.87,-23.26,,New Bytes INC
2026-05,104582,13/04/2022,23379,PARLANTE TRUST JAVV RGB SET 2.0 GXT606,2.000,25.08660,50.17320000,38.42,-11.75,-23.42,-30.58,,LASET S.A.
2026-05,104666,13/04/2022,18679,WEBCAM TRUST TRINO HD,1.000,25.85520,25.85520000,12.15,-13.71,-53.02,-112.84,,LASET S.A.
2026-05,104829,15/10/2025,ARXE-500,FUENTE AUREOX 500W ARXE-500,6.000,8.15000,48.90000000,75.99,27.09,55.39,35.65,,LASET S.A.
2026-05,104830,03/12/2025,ARXGP-500W,FUENTE AUREOX 500W ARXGP 500,4.000,15.65000,62.60000000,84.46,21.86,34.91,25.88,,LASET S.A.
2026-05,104831,23/04/2026,ARXGP-600W,FUENTE GAMER AUREOX 600W PSU ARXGP-600,9.000,16.71000,150.39000000,194.02,43.63,29.01,22.49,,LASET S.A.
2026-05,104832,03/12/2025,ARXGU-80PBZ-550W,FUENTE GAMER AUREOX 550W BRONZE 80+PSU,12.000,21.65000,259.80000000,367.95,108.15,41.63,29.39,,LASET S.A.
2026-05,104833,03/12/2025,ARXGU-80PBZ-650W,FUENTE GAMER AUREOX 650W BRONZE 80+PSU,18.000,23.63000,425.34000000,604.96,179.62,42.23,29.69,,LASET S.A.
2026-05,104835,22/05/2026,RZ04-03240100-R3U1,AURICULAR GAMER RAZER BLACKSHARK V2 X BLACK ANALOG 3.5mm,13.000,35.60000,462.80000000,624.54,161.74,34.95,25.9,,LASET S.A.
2026-05,104842,09/03/2026,23791,MICROFONO TRUST GXT212 MICO USB,6.000,11.09000,66.54000000,72.08,5.54,8.33,7.69,,LASET S.A.
2026-05,104903,25/06/2021,9H.N0HBB.A2E,MOUSE GAMER ZOWIE GEAR S2 BLACK,1.000,65.31960,65.31960000,44.1,-21.22,-32.48,-48.1,,New Bytes INC
2026-05,104936,17/04/2023,24098,TECLADO GAMER LED TRUST ZIVA ES,1.000,10.08500,10.08500000,11.39,1.31,12.97,11.48,,New Bytes INC
2026-05,106820,19/05/2026,PRIME A520M-K,MOTHER ASUS (AM4) PRIME A520M-K,2.000,42.93000,85.86000000,103.19,17.33,20.19,16.8,,LASET S.A.
2026-05,108722,03/12/2025,32200003400,WEBCAM GENIUS FACECAM 1000X V2 BLACK,1.000,10.89000,10.89000000,12.51,1.62,14.92,12.98,,LASET S.A.
2026-05,108723,16/01/2023,31710014400,AURICULAR GAMER GX GAMING GENIUS HS G710V BLACK,1.000,38.11500,38.11500000,28.57,-9.54,-25.04,-33.41,,New Bytes INC
2026-05,108991,17/02/2025,31250012400,APOYA MUÑECAS PAD TECLADO GENIUS G-WP 200M VISCOELASTICO,2.000,9.25000,18.50000000,20.72,2.22,11.99,10.71,,LASET S.A.
2026-05,109338,28/08/2025,DWA-185,D-LINK USB WIFI DWA-185 WIFI 5 AC1200 DUAL BAND CON ANTENA,1.000,13.25757,13.25757000,15.11,1.85,13.94,12.24,,EL AUDITOR SA
2026-05,109606,13/04/2022,23914,TECLADO TRUST ODYSS SEMI MECH ES GXT881,1.000,21.73840,21.73840000,21.07,-0.67,-3.06,-3.16,,LASET S.A.
2026-05,111356,08/05/2026,PASTERMAX A90,GRASA SILICONADA PASTERMAX PARA CPU A90 (GRIS) PASTA TERMICA,2.000,1.83095,3.66190000,4.9,1.23,33.7,25.2,,RUBIÑO ANABEL ROMINA
