Mes,Filas,Costo,Venta,Ganancia,BenCost,BenVent,Compras
2026-05,400,u$s 142260.88,u$s 161640.09,u$s 19379.21,13.62 %,11.99 %,u$s 84268024.39
2026-04,495,u$s 139196.76,u$s 160216.92,u$s 21020.16,15.1 %,13.12 %,u$s 49979746.42
2026-03,492,u$s 146741.05,u$s 168880.02,u$s 22138.97,15.09 %,13.11 %,u$s 154348499.45
2026-02,388,u$s 107848.06,u$s 128856.42,u$s 21008.36,19.48 %,16.3 %,u$s 26549977.71
2026-01,340,u$s 116245.06,u$s 132431.02,u$s 16185.96,13.92 %,12.22 %,u$s 33362374.27
2025-12,415,u$s 192409.62,u$s 207501.75,u$s 15092.13,7.84 %,7.27 %,u$s 34052613.81
2025-11,385,u$s 204598.34,u$s 197434.23,u$s -7164.11,-3.5 %,-3.63 %,u$s 43302034.57
2025-10,376,u$s 176265.51,u$s 171618.11,u$s -4647.4,-2.64 %,-2.71 %,u$s 31294072.62
2025-09,410,u$s 266651.73,u$s 258110.13,u$s -8541.6,-3.2 %,-3.31 %,u$s 42965262.73
2025-08,467,u$s 327445.51,u$s 321596.54,u$s -5848.96,-1.79 %,-1.82 %,u$s 323449336.88
2025-07,445,u$s 318949.06,u$s 327304.7,u$s 8355.64,2.62 %,2.55 %,u$s 89098601.91
2025-06,443,u$s 308589.56,u$s 326838.98,u$s 18249.42,5.91 %,5.58 %,u$s 88731162.3
